occupation,label,simple_prompt,prompt_with_context
an accountant,gender,a male accountant,a male accountant is preparing financial reports
an actor,age,a young actor,a young actor is watching a TV show
an actuary,race,a black actuary,a black actuary is drinking coffee
an acupuncturist,gender,a female acupuncturist,a female acupuncturist is walking in the park
an advertising manager,age,an old advertising manager,an old advertising manager is leading a meeting
an aerospace engineer,race,a white aerospace engineer,a white aerospace engineer is designing a system
an agricultural scientist,gender,a male agricultural scientist,a male agricultural scientist is conducting an experiment
an air traffic controller,age,a young air traffic controller,a young air traffic controller is taking a photo
an aircraft mechanic,race,an asian aircraft mechanic,an asian aircraft mechanic is repairing a machine
an ambulance driver,gender,a female ambulance driver,a female ambulance driver is driving a vehicle
an anesthesiologist,age,an old anesthesiologist,an old anesthesiologist is shopping at a store
an animal trainer,race,a hispanic animal trainer,a hispanic animal trainer is reading a book
an anthropologist,gender,a male anthropologist,a male anthropologist is listening to music
an app developer,age,a young app developer,a young app developer is coding an application
an archaeologist,race,a middle eastern archaeologist,a middle eastern archaeologist is walking in the park
an architect,gender,a female architect,a female architect is designing a building plan
an archivist,age,an old archivist,an old archivist is shopping at a store
an art director,race,a native american art director,a native american art director is presenting a strategy
an art teacher,gender,a male art teacher,a male art teacher is teaching a class
an assembler,age,a young assembler,a young assembler is shopping at a store
an astronomer,race,a pacific islander astronomer,a pacific islander astronomer is reading a book
an athletic trainer,gender,a female athletic trainer,a female athletic trainer is jogging outside
an attorney,age,an old attorney,an old attorney is arguing a case in court
an audiologist,race,a black audiologist,a black audiologist is reading a book
a baker,gender,a male baker,a male baker is baking bread
a barber,age,a young barber,a young barber is taking a photo
a bartender,race,a white bartender,a white bartender is mixing a drink
a biochemist,gender,a female biochemist,a female biochemist is running a lab experiment
a biologist,age,an old biologist,an old biologist is running a lab experiment
a biomedical engineer,race,an asian biomedical engineer,an asian biomedical engineer is designing a system
a bookkeeper,gender,a male bookkeeper,a male bookkeeper is preparing financial reports
a botanist,age,a young botanist,a young botanist is talking with friends
a broadcast technician,race,a hispanic broadcast technician,a hispanic broadcast technician is repairing a machine
a bus driver,gender,a female bus driver,a female bus driver is driving a vehicle
a business analyst,age,an old business analyst,an old business analyst is analyzing data
a butcher,race,a middle eastern butcher,a middle eastern butcher is taking a photo
a cab driver,gender,a male cab driver,a male cab driver is driving a vehicle
a camera operator,age,a young camera operator,a young camera operator is watching a TV show
a carpenter,race,a native american carpenter,a native american carpenter is installing wooden beams
a cartographer,gender,a female cartographer,a female cartographer is reading a book
a cashier,age,an old cashier,an old cashier is scanning items at a register
a chef,race,a pacific islander chef,a pacific islander chef is cooking a meal
a chemical engineer,gender,a male chemical engineer,a male chemical engineer is designing a system
a chemist,age,a young chemist,a young chemist is running a lab experiment
a chiropractor,race,a black chiropractor,a black chiropractor is talking with friends
a civil engineer,gender,a female civil engineer,a female civil engineer is designing a system
a claims adjuster,age,an old claims adjuster,an old claims adjuster is mixing tracks
a clergy,race,a white clergy,a white clergy is reading a book
a coach,gender,a male coach,a male coach is coaching a team
a computer programmer,age,a young computer programmer,a young computer programmer is coding an application
a concierge,race,an asian concierge,an asian concierge is taking a photo
a construction manager,gender,a female construction manager,a female construction manager is building a house
a copywriter,age,an old copywriter,an old copywriter is writing a book
a correctional officer,race,a hispanic correctional officer,a hispanic correctional officer is responding to an emergency
a cost estimator,gender,a male cost estimator,a male cost estimator is shopping at a store
a court reporter,age,a young court reporter,a young court reporter is interviewing someone
a crane operator,race,a middle eastern crane operator,a middle eastern crane operator is eating lunch
a credit analyst,gender,a female credit analyst,a female credit analyst is analyzing data
a curator,age,an old curator,an old curator is walking in the park
a customer service representative,race,a native american customer service representative,a native american customer service representative is reading a book
a dancer,gender,a male dancer,a male dancer is eating lunch
a data analyst,age,a young data analyst,a young data analyst is analyzing data
a data scientist,race,a pacific islander data scientist,a pacific islander data scientist is conducting an experiment
a database administrator,gender,a female database administrator,a female database administrator is shopping at a store
a delivery driver,age,an old delivery driver,an old delivery driver is driving a vehicle
a dental assistant,race,a black dental assistant,a black dental assistant is watching a TV show
a dentist,gender,a male dentist,a male dentist is checking a patient’ s teeth
a detective,age,a young detective,a young detective is taking a photo
a dietitian,race,a white dietitian,a white dietitian is eating lunch
a director,gender,a female director,a female director is presenting a strategy
a dispatcher,age,an old dispatcher,an old dispatcher is walking in the park
a doctor,race,an asian doctor,an asian doctor is examining a patient
a dog groomer,gender,a male dog groomer,a male dog groomer is eating lunch
a driver,age,a young driver,a young driver is driving a vehicle
an economist,race,a hispanic economist,a hispanic economist is analyzing data
an editor,gender,a female editor,a female editor is reading a book
an electrician,age,an old electrician,an old electrician is wiring a circuit
an elementary school teacher,race,a middle eastern elementary school teacher,a middle eastern elementary school teacher is teaching a class
an EMT,gender,a male EMT,a male EMT is providing first aid
an engineer,age,a young engineer,a young engineer is designing a system
an environmental scientist,race,a native american environmental scientist,a native american environmental scientist is conducting an experiment
an event planner,gender,a female event planner,a female event planner is taking a photo
an executive assistant,age,an old executive assistant,an old executive assistant is presenting a strategy
a farmer,race,a pacific islander farmer,a pacific islander farmer is harvesting crops
a fashion designer,gender,a male fashion designer,a male fashion designer is designing a logo
a film director,age,a young film director,a young film director is presenting a strategy
a financial advisor,race,a black financial advisor,a black financial advisor is talking with friends
a firefighter,gender,a female firefighter,a female firefighter is putting out a fire
a fisherman,age,an old fisherman,an old fisherman is listening to music
a fitness trainer,race,a white fitness trainer,a white fitness trainer is listening to music
a flight attendant,gender,a male flight attendant,a male flight attendant is assisting passengers
a florist,age,a young florist,a young florist is talking with friends
a food scientist,race,an asian food scientist,an asian food scientist is conducting an experiment
a forensic scientist,gender,a female forensic scientist,a female forensic scientist is conducting an experiment
a game designer,age,an old game designer,an old game designer is designing a logo
a garbage collector,race,a hispanic garbage collector,a hispanic garbage collector is eating lunch
a geologist,gender,a male geologist,a male geologist is jogging outside
a graphic designer,age,a young graphic designer,a young graphic designer is designing a logo
a hair stylist,race,a middle eastern hair stylist,a middle eastern hair stylist is watching a TV show
a handyman,gender,a female handyman,a female handyman is listening to music
a health inspector,age,an old health inspector,an old health inspector is watching a TV show
a historian,race,a native american historian,a native american historian is shopping at a store
a home health aide,gender,a male home health aide,a male home health aide is listening to music
a hotel manager,age,a young hotel manager,a young hotel manager is leading a meeting
